Task_ID,Project_Name,Assigned_Staff_ID,Staff_Workload_FTE_Days,Task_Duration_Hours,Timezone_Constraint_Score,Project_Risk_Score,External_Dependency_Flag,Planned_Start_Date,Actual_Duration_Hours,Task_Status,Predecessor_Task_ID
T0059,Annual Retreat Planning,STAFF_17,0.56,71,1,1,0,2025-10-15,23.0,Completed,T0010
T0060,Comms Strategy 2026,STAFF_13,3.77,32,1,5,0,2025-11-14,67.0,In Progress,T0631
T0061,Annual Retreat Planning,STAFF_06,4.08,45,1,2,0,2025-12-04,67.0,Completed,T0452
T0062,Annual Retreat Planning,STAFF_17,3.56,21,3,3,0,2025-12-28,17.0,Completed,T0927
T0063,Comms Strategy 2026,STAFF_14,4.84,15,3,3,0,2025-12-10,32.0,Blocked,T0408
T0064,New Hire Recruitment,STAFF_17,4.15,61,5,1,0,2025-10-09,38.0,In Progress,T0506
T0065,New Hire Recruitment,STAFF_08,4.53,9,1,5,0,2025-12-27,28.0,In Progress,None
T0066,Comms Strategy 2026,STAFF_11,4.67,63,3,4,0,2026-02-06,40.0,In Progress,T0981
T0067,Comms Strategy 2026,STAFF_01,4.03,68,3,2,0,2026-02-13,38.0,Blocked,T0237
T0068,AI Ethics Framework,STAFF_07,3.4,29,1,1,0,2025-12-02,28.0,In Progress,T1181
T0069,Comms Strategy 2026,STAFF_17,0.13,42,1,3,0,2026-02-16,43.0,Completed,T0338
T0070,AI Ethics Framework,STAFF_10,2.38,23,3,5,0,2025-12-20,72.0,Completed,T0704
T0071,Comms Strategy 2026,STAFF_11,2.9,57,5,5,0,2026-02-13,11.0,In Progress,T1051
T0072,New Hire Recruitment,STAFF_09,1.59,50,3,1,0,2026-03-12,90.0,In Progress,T0442
T0073,Comms Strategy 2026,STAFF_09,1.66,24,1,4,0,2026-03-12,11.0,In Progress,T0625
T0074,EU AI Act Compliance,STAFF_05,4.81,65,1,3,0,2025-11-02,16.0,Blocked,T1193
T0075,EU AI Act Compliance,STAFF_17,4.47,9,1,1,0,2026-01-31,37.0,To Do,None
T0076,AI Ethics Framework,STAFF_09,4.26,11,3,4,0,2025-10-05,52.0,Completed,T0861
T0077,Annual Retreat Planning,STAFF_17,2.09,46,3,5,0,2025-11-10,11.0,Completed,T0017
T0078,AI Ethics Framework,STAFF_19,0.17,13,1,2,1,2025-10-28,76.0,Completed,T0551
T0079,AI Ethics Framework,STAFF_07,0.49,76,3,3,0,2026-02-12,30.0,In Progress,T0648
T0080,EU AI Act Compliance,STAFF_09,1.63,76,1,3,0,2025-12-11,23.0,Completed,T0552
T0081,Annual Retreat Planning,STAFF_07,0.18,27,5,4,0,2025-10-12,29.0,Completed,T0709
T0082,Annual Retreat Planning,STAFF_13,0.18,71,1,1,1,2026-03-11,79.0,Completed,T1029
T0083,AI Ethics Framework,STAFF_11,4.59,23,1,5,0,2025-11-02,55.0,Completed,T0197
T0084,EU AI Act Compliance,STAFF_14,3.56,58,1,4,0,2025-11-17,62.1,Completed,T0444
T0085,EU AI Act Compliance,STAFF_19,1.61,44,1,2,1,2026-02-28,67.0,Completed,T0825
T0086,Comms Strategy 2026,STAFF_11,0.75,76,1,2,0,2025-12-01,12.0,In Progress,T0513
T0087,Comms Strategy 2026,STAFF_13,2.61,49,1,2,0,2025-11-06,14.0,Completed,None
T0088,EU AI Act Compliance,STAFF_14,0.13,64,1,4,0,2026-01-07,58.0,Completed,T0702
T0089,Comms Strategy 2026,STAFF_13,4.7,73,3,5,0,2026-03-21,72.0,Blocked,None
T0090,EU AI Act Compliance,STAFF_01,2.13,16,1,3,0,2026-01-12,16.0,Blocked,None
T0091,New Hire Recruitment,STAFF_08,2.07,71,1,1,0,2025-11-04,52.0,Completed,None
T0092,EU AI Act Compliance,STAFF_12,2.01,29,1,3,0,2026-01-09,54.0,Completed,T0077
T0093,EU AI Act Compliance,STAFF_19,0.44,41,3,5,0,2026-03-24,74.0,In Progress,None
T0094,EU AI Act Compliance,STAFF_12,3.23,62,1,3,0,2026-02-08,31.0,Completed,T0210
T0095,Comms Strategy 2026,STAFF_08,3.69,36,5,4,0,2025-10-01,17.0,Completed,T0056
T0096,New Hire Recruitment,STAFF_08,3.41,45,3,2,0,2025-10-05,55.0,Completed,T0674
T0097,EU AI Act Compliance,STAFF_13,0.78,25,1,5,1,2026-02-19,42.0,Completed,T0317
T0098,Comms Strategy 2026,STAFF_12,2.94,78,1,5,0,2026-01-11,61.0,In Progress,T0300
T0099,Annual Retreat Planning,STAFF_16,2.89,72,1,3,0,2025-10-27,78.0,Blocked,T0468
T0100,EU AI Act Compliance,STAFF_01,4.36,8,1,4,0,2026-02-14,23.0,In Progress,T0404
T0101,EU AI Act Compliance,STAFF_13,1.96,11,3,3,0,2025-10-15,60.0,In Progress,T1113
T0102,New Hire Recruitment,STAFF_07,1.92,11,5,3,0,2025-12-29,47.0,Completed,T0304
T0103,EU AI Act Compliance,STAFF_05,3.13,34,1,5,0,2025-11-11,27.0,In Progress,T0883
T0104,EU AI Act Compliance,STAFF_08,3.2,50,1,3,0,2026-02-01,76.0,Completed,None
T0105,New Hire Recruitment,STAFF_14,2.4,66,3,2,0,2026-03-28,52.0,Completed,T0703
T0106,AI Ethics Framework,STAFF_13,2.27,39,3,3,0,2025-12-02,13.0,In Progress,T1044
T0107,AI Ethics Framework,STAFF_15,2.52,40,1,2,0,2026-01-04,76.0,Blocked,None
T0108,EU AI Act Compliance,STAFF_17,4.32,35,1,5,0,2025-11-21,56.0,Completed,T0224
T0109,New Hire Recruitment,STAFF_15,2.36,62,1,4,0,2026-01-04,46.0,Blocked,T0681
T0110,AI Ethics Framework,STAFF_18,4.71,67,3,2,0,2026-02-09,9.0,Completed,None
T0111,AI Ethics Framework,STAFF_18,2.57,77,1,4,0,2026-02-28,46.0,Completed,None
T0112,AI Ethics Framework,STAFF_02,4.75,69,1,4,0,2026-02-20,28.0,Completed,T0978
T0113,AI Ethics Framework,STAFF_04,4.18,41,5,2,0,2026-03-20,47.0,In Progress,T0234
T0114,AI Ethics Framework,STAFF_01,1.88,63,3,5,0,2025-10-29,54.9,Blocked,None
T0115,EU AI Act Compliance,STAFF_04,4.33,20,3,1,1,2025-11-05,19.0,In Progress,T0284
T0116,Comms Strategy 2026,STAFF_18,0.64,63,1,4,0,2025-10-13,44.0,Completed,T0574
T0117,AI Ethics Framework,STAFF_05,4.63,25,1,4,0,2026-03-09,45.0,Completed,T0611
T0118,EU AI Act Compliance,STAFF_19,3.2,61,5,5,1,2025-12-10,22.0,In Progress,T0727
T0119,AI Ethics Framework,STAFF_15,0.37,50,1,5,0,2025-12-25,16.8,Completed,T1285
T0120,EU AI Act Compliance,STAFF_08,3.26,46,1,3,0,2025-10-28,57.0,Completed,None
T0121,EU AI Act Compliance,STAFF_17,4.87,68,1,5,0,2025-12-05,72.0,To Do,T1170
T0122,Annual Retreat Planning,STAFF_01,0.44,49,1,4,0,2026-03-19,74.0,In Progress,T0036
T0123,AI Ethics Framework,STAFF_12,2.82,25,1,2,0,2025-11-14,51.0,Completed,T0918
T0124,EU AI Act Compliance,STAFF_19,3.76,30,3,1,0,2025-12-01,38.0,Completed,T1215
T0125,AI Ethics Framework,STAFF_15,4.07,61,5,3,0,2026-02-11,45.0,Completed,T0723
T0126,New Hire Recruitment,STAFF_09,2.13,37,5,2,0,2025-10-28,55.0,In Progress,None
T0127,Annual Retreat Planning,STAFF_07,1.1,65,1,1,0,2025-10-28,68.0,Blocked,None
T0128,Comms Strategy 2026,STAFF_02,0.31,75,1,1,0,2026-01-16,17.0,In Progress,T1038
T0129,AI Ethics Framework,STAFF_09,2.94,74,1,1,0,2025-11-13,36.0,Completed,T0102
T0130,New Hire Recruitment,STAFF_10,2.32,78,3,2,0,2025-12-23,55.0,Completed,T1061
T0131,AI Ethics Framework,STAFF_02,4.75,25,1,3,0,2025-10-30,69.0,To Do,None
T0132,AI Ethics Framework,STAFF_19,0.4,14,3,3,0,2025-12-14,20.0,To Do,T0617
T0133,EU AI Act Compliance,STAFF_11,3.46,47,3,1,0,2026-02-05,51.0,In Progress,None
T0134,AI Ethics Framework,STAFF_13,0.22,77,1,2,0,2025-12-31,54.0,Completed,T0509
T0135,New Hire Recruitment,STAFF_10,0.94,72,1,1,0,2026-02-06,71.0,In Progress,T0927
T0136,Annual Retreat Planning,STAFF_14,2.32,75,5,5,0,2026-01-29,60.0,Blocked,T1054
T0137,AI Ethics Framework,STAFF_18,2.33,56,5,3,0,2025-10-27,51.0,In Progress,T1102
T0138,Comms Strategy 2026,STAFF_19,3.46,59,1,4,0,2026-01-29,35.0,In Progress,None
T0139,New Hire Recruitment,STAFF_09,4.56,36,1,1,0,2026-01-24,9.0,Completed,T0382
T0140,New Hire Recruitment,STAFF_07,3.23,28,5,5,0,2025-10-03,64.0,Completed,T0427
T0141,Comms Strategy 2026,STAFF_03,4.77,16,1,3,0,2026-01-11,64.0,Completed,T1145
T0142,New Hire Recruitment,STAFF_06,4.42,54,1,2,0,2026-03-04,41.0,To Do,T0288
T0143,New Hire Recruitment,STAFF_02,2.96,49,1,3,1,2026-02-14,65.0,In Progress,T0755
T0144,Annual Retreat Planning,STAFF_06,4.19,58,1,2,0,2025-12-01,59.0,In Progress,T0033
T0145,AI Ethics Framework,STAFF_03,3.25,63,1,2,1,2026-03-14,36.0,Completed,T0230
T0146,EU AI Act Compliance,STAFF_16,0.48,58,1,1,1,2025-11-20,42.0,To Do,T1104
T0147,New Hire Recruitment,STAFF_08,3.73,77,1,1,0,2026-03-21,55.0,Blocked,T1215
T0148,AI Ethics Framework,STAFF_02,0.57,27,1,3,0,2026-03-01,40.0,Completed,T0188
T0149,New Hire Recruitment,STAFF_17,3.01,34,5,5,0,2025-11-28,16.0,Blocked,T0371
T0150,AI Ethics Framework,STAFF_09,3.54,45,3,3,1,2026-01-26,55.0,Completed,T0161
T0151,AI Ethics Framework,STAFF_12,0.43,79,3,4,0,2026-03-09,74.0,Completed,T0705
T0152,EU AI Act Compliance,STAFF_03,1.23,72,3,2,1,2026-01-04,38.7,Completed,T0205
T0153,AI Ethics Framework,STAFF_11,4.59,61,1,2,0,2026-03-29,78.0,To Do,T0711
T0154,New Hire Recruitment,STAFF_01,3.12,31,1,1,0,2026-01-21,51.0,To Do,T1190
T0155,New Hire Recruitment,STAFF_13,1.31,54,5,5,0,2025-12-01,80.39999999999999,Completed,T1111
T0156,New Hire Recruitment,STAFF_15,3.48,78,1,1,0,2025-11-21,70.0,In Progress,T0456
T0157,Comms Strategy 2026,STAFF_05,3.02,70,1,4,0,2025-10-12,12.0,In Progress,T1095
T0158,AI Ethics Framework,STAFF_17,2.56,64,3,3,0,2025-11-08,42.300000000000004,Blocked,None
T0159,EU AI Act Compliance,STAFF_06,4.88,62,1,3,0,2026-02-07,26.0,Completed,T0565
T0160,Comms Strategy 2026,STAFF_11,3.45,67,1,5,0,2026-02-08,54.0,In Progress,T0535
T0161,EU AI Act Compliance,STAFF_18,1.94,69,5,1,0,2026-01-21,72.0,In Progress,T0929
T0162,AI Ethics Framework,STAFF_04,4.02,37,3,1,0,2026-01-09,74.0,Completed,T0399
T0163,EU AI Act Compliance,STAFF_03,4.43,29,1,4,0,2026-01-21,25.0,Completed,T1059
T0164,EU AI Act Compliance,STAFF_13,0.71,36,5,3,0,2025-12-20,51.300000000000004,In Progress,None
T0165,New Hire Recruitment,STAFF_09,1.08,48,3,1,0,2026-01-21,37.0,Completed,T0747
T0166,New Hire Recruitment,STAFF_06,1.16,49,3,5,0,2025-10-02,73.0,To Do,T1105
T0167,EU AI Act Compliance,STAFF_12,3.49,72,1,3,0,2026-02-07,12.0,Completed,T1060
T0168,Comms Strategy 2026,STAFF_02,3.05,38,1,4,0,2025-11-23,49.0,To Do,T0063
T0169,Annual Retreat Planning,STAFF_03,3.13,37,3,5,0,2025-12-26,12.0,Completed,T0299
T0170,AI Ethics Framework,STAFF_03,4.71,25,3,2,0,2026-02-06,57.0,Completed,None
T0171,New Hire Recruitment,STAFF_12,3.9,24,3,4,0,2026-02-24,65.0,Completed,None
T0172,New Hire Recruitment,STAFF_15,0.73,45,1,5,0,2026-02-03,15.0,In Progress,T1269
T0173,EU AI Act Compliance,STAFF_09,1.8,21,1,1,0,2026-02-07,38.0,In Progress,None
T0174,EU AI Act Compliance,STAFF_08,2.23,63,3,2,0,2025-11-22,19.0,Completed,T0498
T0175,AI Ethics Framework,STAFF_11,2.04,29,1,4,0,2026-03-21,28.0,Completed,T0403
T0176,EU AI Act Compliance,STAFF_16,3.38,74,1,1,1,2026-03-09,69.0,In Progress,T0625
T0177,AI Ethics Framework,STAFF_04,4.47,63,1,2,1,2026-03-09,40.0,Completed,T0090
T0178,New Hire Recruitment,STAFF_01,1.6,26,1,3,0,2025-12-07,33.0,In Progress,None
T0179,AI Ethics Framework,STAFF_07,2.8,64,3,1,0,2026-01-31,47.0,Completed,None
T0180,EU AI Act Compliance,STAFF_02,3.97,51,3,5,0,2026-02-22,72.0,In Progress,None
T0181,New Hire Recruitment,STAFF_05,2.14,42,1,4,0,2025-11-07,66.0,In Progress,T0902
T0182,Annual Retreat Planning,STAFF_07,0.92,8,1,2,0,2025-10-24,22.0,To Do,T0480
T0183,AI Ethics Framework,STAFF_04,2.43,59,3,1,0,2025-12-08,8.0,In Progress,T0322
T0184,AI Ethics Framework,STAFF_05,0.37,77,1,3,0,2026-01-24,18.0,Completed,T0592
T0185,AI Ethics Framework,STAFF_01,4.72,44,1,4,1,2026-01-06,62.0,Completed,T1084
T0186,Comms Strategy 2026,STAFF_01,0.47,72,5,4,0,2026-02-16,9.0,In Progress,T0727
T0187,AI Ethics Framework,STAFF_15,2.25,58,1,1,0,2026-02-21,72.0,In Progress,None
T0188,EU AI Act Compliance,STAFF_19,2.7,8,5,3,0,2026-01-05,51.0,Blocked,None
T0189,New Hire Recruitment,STAFF_10,4.93,28,1,2,0,2026-02-01,23.0,In Progress,T0167
T0190,AI Ethics Framework,STAFF_18,0.91,60,1,1,0,2025-12-09,29.0,In Progress,T0214
T0191,New Hire Recruitment,STAFF_03,0.66,23,1,2,0,2026-01-01,25.0,Completed,T1099
T0192,New Hire Recruitment,STAFF_11,0.14,68,5,4,0,2025-10-03,54.0,Completed,T0375
T0193,AI Ethics Framework,STAFF_15,0.86,61,1,2,0,2026-02-25,37.0,Completed,T1286
T0194,New Hire Recruitment,STAFF_11,1.12,47,1,3,0,2026-03-13,17.0,Completed,T0961
T0195,EU AI Act Compliance,STAFF_17,3.19,33,5,5,0,2026-02-24,65.0,In Progress,T0374
T0196,New Hire Recruitment,STAFF_17,1.18,72,1,3,0,2025-12-29,82.8,Completed,T0778
T0197,Comms Strategy 2026,STAFF_06,0.2,71,1,2,0,2026-02-24,11.700000000000001,Completed,T0660
T0198,Comms Strategy 2026,STAFF_05,4.15,50,1,1,0,2026-02-25,74.0,Completed,None
T0199,EU AI Act Compliance,STAFF_08,1.89,24,3,4,0,2026-01-04,48.0,Completed,T0053
T0200,New Hire Recruitment,STAFF_02,1.83,66,1,5,0,2025-11-21,50.0,Completed,None
T0201,Annual Retreat Planning,STAFF_16,1.58,30,1,1,0,2026-03-10,25.0,In Progress,T1060
T0202,EU AI Act Compliance,STAFF_12,4.88,14,1,1,0,2026-03-17,65.0,Completed,T1199
T0203,New Hire Recruitment,STAFF_06,0.93,51,1,3,0,2026-02-05,80.39999999999999,In Progress,T0005
T0204,AI Ethics Framework,STAFF_01,4.5,60,5,2,0,2025-11-08,34.0,In Progress,T1021
T0205,AI Ethics Framework,STAFF_04,3.91,78,5,3,0,2025-12-21,67.5,To Do,T0957
T0206,AI Ethics Framework,STAFF_17,0.47,41,3,2,0,2026-01-12,29.0,Completed,T0873
T0207,EU AI Act Compliance,STAFF_13,4.93,53,3,3,0,2026-02-06,31.0,Completed,T1278
T0208,AI Ethics Framework,STAFF_18,1.43,75,3,1,0,2025-10-11,47.0,Completed,T0904
T0209,New Hire Recruitment,STAFF_05,0.58,23,1,4,0,2026-03-27,73.0,Completed,None
T0210,AI Ethics Framework,STAFF_03,4.16,78,3,2,0,2026-02-28,47.0,To Do,T0379
T0211,Comms Strategy 2026,STAFF_11,3.56,26,1,5,1,2026-03-08,13.0,In Progress,None
T0212,AI Ethics Framework,STAFF_13,3.12,9,1,5,0,2025-11-11,25.0,In Progress,T0292
T0213,New Hire Recruitment,STAFF_04,0.86,17,3,1,1,2026-01-07,37.0,Completed,None
T0214,New Hire Recruitment,STAFF_14,2.44,57,1,3,0,2025-10-07,28.0,In Progress,None
T0215,EU AI Act Compliance,STAFF_11,3.92,19,3,3,0,2026-02-21,69.0,Completed,T0546
T0216,New Hire Recruitment,STAFF_10,1.59,77,1,1,0,2025-12-29,17.0,In Progress,T0862
T0217,AI Ethics Framework,STAFF_19,1.63,29,3,5,0,2026-01-20,20.0,In Progress,T1070
T0218,New Hire Recruitment,STAFF_18,0.12,39,1,5,0,2025-11-29,16.0,Completed,T0130
T0219,AI Ethics Framework,STAFF_06,0.95,8,3,3,0,2026-01-21,75.0,Completed,T0803
T0220,New Hire Recruitment,STAFF_15,4.39,61,3,2,0,2025-10-02,46.0,Blocked,T0586
T0221,AI Ethics Framework,STAFF_10,2.26,65,1,4,0,2026-02-06,31.0,Completed,None
T0222,Comms Strategy 2026,STAFF_05,4.92,77,1,2,1,2025-11-17,41.0,Completed,None
T0223,Annual Retreat Planning,STAFF_05,2.04,25,1,5,1,2026-02-17,68.0,Completed,T1139
T0224,AI Ethics Framework,STAFF_10,3.6,13,1,2,0,2025-11-06,48.0,Completed,T1066
T0225,AI Ethics Framework,STAFF_05,1.48,52,3,4,0,2026-03-09,12.0,In Progress,T1193
T0226,AI Ethics Framework,STAFF_03,1.88,30,5,2,0,2025-10-09,57.0,In Progress,T0595
T0227,EU AI Act Compliance,STAFF_06,1.03,30,1,2,0,2026-01-07,11.0,In Progress,T0658
T0228,Comms Strategy 2026,STAFF_04,1.8,33,3,2,0,2026-02-24,58.0,Completed,T0900
T0229,AI Ethics Framework,STAFF_18,2.78,14,3,2,0,2025-11-17,59.0,In Progress,None
T0230,EU AI Act Compliance,STAFF_09,4.96,51,1,1,0,2026-02-08,46.0,Blocked,T1177
T0231,AI Ethics Framework,STAFF_17,3.35,34,3,5,1,2026-02-25,15.0,Completed,T0896
T0232,New Hire Recruitment,STAFF_13,1.08,33,3,4,0,2026-03-01,52.0,Completed,T1252
T0233,AI Ethics Framework,STAFF_15,0.32,43,1,5,0,2025-11-23,35.0,Blocked,T0603
T0234,AI Ethics Framework,STAFF_17,0.72,62,1,1,0,2026-01-28,34.0,Completed,T1188
T0235,AI Ethics Framework,STAFF_13,2.86,71,1,1,0,2026-03-10,72.0,Completed,T0668
T0236,EU AI Act Compliance,STAFF_16,3.85,64,5,1,0,2026-03-01,41.0,Completed,T0455
T0237,New Hire Recruitment,STAFF_04,4.71,76,5,1,0,2026-01-24,69.0,Completed,T0991
T0238,EU AI Act Compliance,STAFF_05,0.18,68,3,2,0,2025-12-14,82.8,Completed,T1117
T0239,AI Ethics Framework,STAFF_05,2.66,9,1,5,1,2026-01-21,45.0,Completed,T0747
T0240,Annual Retreat Planning,STAFF_09,2.41,62,1,3,0,2026-03-13,33.0,In Progress,T0919
T0241,Annual Retreat Planning,STAFF_17,3.31,45,1,4,0,2026-03-15,31.0,Completed,T1128
T0242,AI Ethics Framework,STAFF_13,2.84,36,1,1,0,2026-01-12,46.0,Blocked,T1248
T0243,Annual Retreat Planning,STAFF_02,3.47,33,3,5,0,2025-12-23,28.0,Completed,None
T0244,New Hire Recruitment,STAFF_13,3.32,42,5,1,0,2026-01-20,54.0,To Do,T0577
T0245,AI Ethics Framework,STAFF_19,0.67,74,5,1,0,2026-01-07,55.0,To Do,None
T0246,Annual Retreat Planning,STAFF_03,4.02,36,3,1,0,2026-03-02,20.0,In Progress,T1036
T0247,Annual Retreat Planning,STAFF_10,0.7,41,1,1,1,2026-01-01,10.0,To Do,T1281
T0248,EU AI Act Compliance,STAFF_02,3.52,48,1,1,0,2026-02-23,39.0,In Progress,T1138
T0249,AI Ethics Framework,STAFF_13,2.14,48,1,4,0,2026-02-05,42.0,Blocked,T0335
T0250,AI Ethics Framework,STAFF_19,2.62,30,3,5,0,2026-01-18,31.2,Completed,T0117
T0251,New Hire Recruitment,STAFF_17,4.53,78,3,1,0,2025-12-21,21.0,Completed,T1181
T0252,New Hire Recruitment,STAFF_14,4.46,10,1,1,0,2025-11-23,55.0,In Progress,T0831
T0253,Comms Strategy 2026,STAFF_12,4.11,65,1,1,0,2026-03-12,75.0,Completed,T1142
T0254,EU AI Act Compliance,STAFF_12,2.6,39,1,1,0,2026-03-18,52.0,Blocked,T0775
T0255,Comms Strategy 2026,STAFF_11,3.71,38,1,2,0,2026-03-10,26.0,Blocked,T0508
T0256,Comms Strategy 2026,STAFF_07,2.61,50,1,2,0,2025-12-07,71.0,Completed,T0464
T0257,EU AI Act Compliance,STAFF_04,4.36,14,1,3,0,2025-11-02,73.0,Blocked,T1188
T0258,AI Ethics Framework,STAFF_19,2.07,8,1,1,0,2026-02-19,73.0,Completed,T0450
T0259,New Hire Recruitment,STAFF_01,4.85,68,3,3,0,2025-10-21,52.0,Completed,T1162
T0260,EU AI Act Compliance,STAFF_03,4.67,21,1,4,0,2025-11-17,74.0,In Progress,T0624
T0261,New Hire Recruitment,STAFF_13,3.73,59,1,3,0,2026-02-25,76.0,Completed,T1253
